"","question1","question2","r"
"42","am not interested in other peoples problems","how confident are you that others see you as being physically appealing",0.0414884609828998
"43","am not interested in other peoples problems","do you ever think that you are a worthless individual",-0.0021351348348315
"44","am not interested in other peoples problems","how much do you worry about how well you get along with other people",0.0643744930499228
"45","am not interested in other peoples problems","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",-0.0508254536161513
"46","am not interested in other peoples problems","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",-0.0230549228324759
"47","am not interested in other peoples problems","compared with classmates how often do you feel you must study more than they do to get the same grades",-0.061234902610029
"48","am not interested in other peoples problems","have you ever thought of yourself as physically uncoordinated",0.0452716141290459
"49","am not interested in other peoples problems","how confident do you feel that someday the people you know will look up to you and respect you",-0.02757719530217
"50","am not interested in other peoples problems","how often do you worry about criticisms that might be made of your work by your teacher or employer",-0.0416591295458838
"51","am not interested in other peoples problems","do you often feel uncomfortable meeting new people",-0.0439267102967811
"52","am not interested in other peoples problems","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.0155059500661118
"53","am not interested in other peoples problems","have you ever felt ashamed of your physique or figure",-0.0539774886387627
"54","am not interested in other peoples problems","have you ever felt inferior to most other people in athletic ability",0.147287414304603
"55","am not interested in other peoples problems","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",0.0639638218202424
"56","am not interested in other peoples problems","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",0.0527516972410805
"57","am not interested in other peoples problems","how often do you worry whether other people like to be with you",0.0418449093878821
"58","am not interested in other peoples problems","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",-0.0893716596851076
"59","am not interested in other peoples problems","do you often feel that most of your friends or peers are more physically attractive than yourself",0.0382755363948488
"60","am not interested in other peoples problems","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.113784819831331
"61","am not interested in other peoples problems","how often do you dislike yourself",-0.0349021655796176
"62","am not interested in other peoples problems","how often do you feel self conscious",-0.0522045800508895
"63","am not interested in other peoples problems","how often are you troubled with shyness",0.114106601184458
"64","am not interested in other peoples problems","how often do you have trouble understanding things you read for class assignments",0.0255553950599451
"65","am not interested in other peoples problems","do you often wish or fantasize that you were better looking",-0.149354103934488
"66","am not interested in other peoples problems","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.00852765030722564
"67","am not interested in other peoples problems","in general how confident do you feel about your abilities",0.0398804431160346
"68","am not interested in other peoples problems","how much do you worry about whether other people regard you as a success or failure in your job or at school",0.126122734697052
"69","am not interested in other peoples problems","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",0.0145708285647618
"70","am not interested in other peoples problems","how often do you imagine that you have less scholastic ability than your classmates",-0.133257036189291
"71","am not interested in other peoples problems","have you ever been concerned or worried about your ability to attract members of the opposite sex",-0.0716323514705719
"72","am not interested in other peoples problems","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.0525445838287092
"73","carry out my plans","how often do you feel inferior to most of the people you know",0.00435693729930333
"74","carry out my plans","how often do you have the feeling that there is nothing you can do well",0.0810471227458083
"75","carry out my plans","when in a group of people do you have trouble thinking of the right things to talk about",0.00956455071723019
"76","carry out my plans","how often do you feel worried or bothered about what other people think of you",-0.0315470171890799
"77","carry out my plans","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",-0.121368459649552
"78","carry out my plans","how confident are you that others see you as being physically appealing",0.0114570161890688
"79","carry out my plans","do you ever think that you are a worthless individual",0.0648224980277559
"80","carry out my plans","how much do you worry about how well you get along with other people",0.0460231780353115
"81","carry out my plans","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",-0.0259505105612285
"82","carry out my plans","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",-0.0121605795619951
"83","carry out my plans","compared with classmates how often do you feel you must study more than they do to get the same grades",-0.060724674718608
"84","carry out my plans","have you ever thought of yourself as physically uncoordinated",0.00560895121056901
"85","carry out my plans","how confident do you feel that someday the people you know will look up to you and respect you",0.0433978155312837
"86","carry out my plans","how often do you worry about criticisms that might be made of your work by your teacher or employer",0.000185335392615474
"87","carry out my plans","do you often feel uncomfortable meeting new people",-0.0373733041478239
"88","carry out my plans","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.0218909098989989
"89","carry out my plans","have you ever felt ashamed of your physique or figure",0.0615820175779731
"90","carry out my plans","have you ever felt inferior to most other people in athletic ability",-8.04453382815365e-05
"91","carry out my plans","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.0114730163668485
"92","carry out my plans","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",-0.0390693229924777
"93","carry out my plans","how often do you worry whether other people like to be with you",0.00969610773453039
"94","carry out my plans","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.0596744408271203
"95","carry out my plans","do you often feel that most of your friends or peers are more physically attractive than yourself",-0.0233851487238747
"96","carry out my plans","when involved in sports requiring physical coordination are you often concerned that you will not do well",-0.0547099412215691
"97","carry out my plans","how often do you dislike yourself",0.032456805075612
"98","carry out my plans","how often do you feel self conscious",-0.00882454249491661
"99","carry out my plans","how often are you troubled with shyness",-0.0462325136945966
"100","carry out my plans","how often do you have trouble understanding things you read for class assignments",0.0260500672229691
"101","carry out my plans","do you often wish or fantasize that you were better looking",0.0371884132045912
"102","carry out my plans","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.0498854431715908
"103","carry out my plans","in general how confident do you feel about your abilities",-0.0025675840842676
"104","carry out my plans","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.0560104001155568
"105","carry out my plans","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",-0.00509961221791353
"106","carry out my plans","how often do you imagine that you have less scholastic ability than your classmates",0.0679127545861621
"107","carry out my plans","have you ever been concerned or worried about your ability to attract members of the opposite sex",0.0523441371570795
"108","carry out my plans","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.00032400360004
"109","make friends easily","how often do you feel inferior to most of the people you know",-0.0584459827331415
"110","make friends easily","how often do you have the feeling that there is nothing you can do well",-0.152461694018822
"111","make friends easily","when in a group of people do you have trouble thinking of the right things to talk about",-0.0624731385904288
"112","make friends easily","how often do you feel worried or bothered about what other people think of you",-0.123179590884343
"113","make friends easily","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",-0.132342803808931
"114","make friends easily","how confident are you that others see you as being physically appealing",-0.137385082056467
"115","make friends easily","do you ever think that you are a worthless individual",-0.109361215124612
"116","make friends easily","how much do you worry about how well you get along with other people",-0.0851422793586595
"117","make friends easily","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.0475263058478428
"118","make friends easily","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",-0.102886476516406
"119","make friends easily","compared with classmates how often do you feel you must study more than they do to get the same grades",-0.080473338592651
"120","make friends easily","have you ever thought of yourself as physically uncoordinated",-0.136672185246503
"121","make friends easily","how confident do you feel that someday the people you know will look up to you and respect you",-0.0816906854520606
"122","make friends easily","how often do you worry about criticisms that might be made of your work by your teacher or employer",-0.0350163890709897
"123","make friends easily","do you often feel uncomfortable meeting new people",-0.0769244102712252
"124","make friends easily","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.0438613762375138
"125","make friends easily","have you ever felt ashamed of your physique or figure",-0.123128034755942
"126","make friends easily","have you ever felt inferior to most other people in athletic ability",-0.0195299947777198
"127","make friends easily","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.128444093823265
"128","make friends easily","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",-0.182177579750886
"129","make friends easily","how often do you worry whether other people like to be with you",-0.0783684263158479
"130","make friends easily","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",-0.0825351392793253
"131","make friends easily","do you often feel that most of your friends or peers are more physically attractive than yourself",0.0891072123023589
"132","make friends easily","when involved in sports requiring physical coordination are you often concerned that you will not do well",-0.037396415515728
"133","make friends easily","how often do you dislike yourself",-0.0462347359415105
"134","make friends easily","how often do you feel self conscious",-0.0502418915765731
"135","make friends easily","how often are you troubled with shyness",-0.0302336692629918
"136","make friends easily","how often do you have trouble understanding things you read for class assignments",-0.0209668996322181
"137","make friends easily","do you often wish or fantasize that you were better looking",-0.0400915565728508
"138","make friends easily","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.102098467760753
"139","make friends easily","in general how confident do you feel about your abilities",-0.117498638873765
"140","make friends easily","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.182069578550873
"141","make friends easily","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",-0.0738617095745508
"142","make friends easily","how often do you imagine that you have less scholastic ability than your classmates",-0.0796822186913188
"143","make friends easily","have you ever been concerned or worried about your ability to attract members of the opposite sex",-0.0925659173990822
"144","make friends easily","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",-0.0907472305247836
"145","am quick to understand things","how often do you feel inferior to most of the people you know",0.1561537350415
"146","am quick to understand things","how often do you have the feeling that there is nothing you can do well",-0.054913943488261
"147","am quick to understand things","when in a group of people do you have trouble thinking of the right things to talk about",0.190094112156802
"148","am quick to understand things","how often do you feel worried or bothered about what other people think of you",-0.0289465438504872
"149","am quick to understand things","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",-0.0172153023922488
"150","am quick to understand things","how confident are you that others see you as being physically appealing",-0.0853516150179446
"151","am quick to understand things","do you ever think that you are a worthless individual",-0.0767799642218247
"152","am quick to understand things","how much do you worry about how well you get along with other people",0.0250371670796342
"153","am quick to understand things","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.044881387570973
"154","am quick to understand things","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",0.0692358803986711
"155","am quick to understand things","compared with classmates how often do you feel you must study more than they do to get the same grades",0.0606477849753886
"156","am quick to understand things","have you ever thought of yourself as physically uncoordinated",-0.0315692396582184
"157","am quick to understand things","how confident do you feel that someday the people you know will look up to you and respect you",0.0107276747519417
"158","am quick to understand things","how often do you worry about criticisms that might be made of your work by your teacher or employer",-0.062344692718808
"159","am quick to understand things","do you often feel uncomfortable meeting new people",0.0437733752597251
"160","am quick to understand things","when you have to write an argument to convince your teacher who may disagree with your ideas",0.143197591084345
"161","am quick to understand things","have you ever felt ashamed of your physique or figure",-0.0152588362092912
"162","am quick to understand things","have you ever felt inferior to most other people in athletic ability",0.109270103001144
"163","am quick to understand things","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.00125201391126568
"164","am quick to understand things","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",-0.0164268491872132
"165","am quick to understand things","how often do you worry whether other people like to be with you",0.087042744919388
"166","am quick to understand things","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.0198624429160324
"167","am quick to understand things","do you often feel that most of your friends or peers are more physically attractive than yourself",0.00517739085989844
"168","am quick to understand things","when involved in sports requiring physical coordination are you often concerned that you will not do well",-0.0514445716063512
"169","am quick to understand things","how often do you dislike yourself",0.0233184813164591
"170","am quick to understand things","how often do you feel self conscious",-0.0682234247047189
"171","am quick to understand things","how often are you troubled with shyness",0.0666709630107001
"172","am quick to understand things","how often do you have trouble understanding things you read for class assignments",0.103551372793031
"173","am quick to understand things","do you often wish or fantasize that you were better looking",-0.0828449204991167
"174","am quick to understand things","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.0325216946854965
"175","am quick to understand things","in general how confident do you feel about your abilities",-0.0532650362781809
"176","am quick to understand things","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.0320559117323526
"177","am quick to understand things","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",-0.0179766441849354
"178","am quick to understand things","how often do you imagine that you have less scholastic ability than your classmates",-0.0557028411426794
"179","am quick to understand things","have you ever been concerned or worried about your ability to attract members of the opposite sex",0.0170259669551884
"180","am quick to understand things","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",-0.0117516861298459
"181","get angry easily","how often do you feel inferior to most of the people you know",0.0414964610717897
"182","get angry easily","how often do you have the feeling that there is nothing you can do well",0.0329532550361671
"183","get angry easily","when in a group of people do you have trouble thinking of the right things to talk about",0.0666425182502028
"184","get angry easily","how often do you feel worried or bothered about what other people think of you",-0.0510187890976566
"185","get angry easily","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",-0.00579073100812231
"186","get angry easily","how confident are you that others see you as being physically appealing",-0.0164881832020356
"187","get angry easily","do you ever think that you are a worthless individual",-0.0704198935543728
"188","get angry easily","how much do you worry about how well you get along with other people",0.0819635773730819
"189","get angry easily","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.132825920288003
"190","get angry easily","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",-0.0291763241813798
"191","get angry easily","compared with classmates how often do you feel you must study more than they do to get the same grades",0.0122774697496639
"192","get angry easily","have you ever thought of yourself as physically uncoordinated",-0.0247878309758997
"193","get angry easily","how confident do you feel that someday the people you know will look up to you and respect you",-0.0203282258691763
"194","get angry easily","how often do you worry about criticisms that might be made of your work by your teacher or employer",0.0187242080467561
"195","get angry easily","do you often feel uncomfortable meeting new people",0.00341159346214958
"196","get angry easily","when you have to write an argument to convince your teacher who may disagree with your ideas",0.0345297169968555
"197","get angry easily","have you ever felt ashamed of your physique or figure",-0.0461285125390282
"198","get angry easily","have you ever felt inferior to most other people in athletic ability",-0.0525641396015511
"199","get angry easily","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.0514223491372126
"200","get angry easily","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",-0.058642873809709
"201","get angry easily","how often do you worry whether other people like to be with you",-0.0469947443860487
"202","get angry easily","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.0175730841453794
"203","get angry easily","do you often feel that most of your friends or peers are more physically attractive than yourself",-0.0112525694729941
"204","get angry easily","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.0201628906987855
"205","get angry easily","how often do you dislike yourself",-0.0408493427704752
"206","get angry easily","how often do you feel self conscious",-0.0933161479571995
"207","get angry easily","how often are you troubled with shyness",-0.028250536117068
"208","get angry easily","how often do you have trouble understanding things you read for class assignments",-0.0194917721308015
"209","get angry easily","do you often wish or fantasize that you were better looking",-0.0725274725274725
"210","get angry easily","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.0612131245902732
"211","get angry easily","in general how confident do you feel about your abilities",-0.0749674996388849
"212","get angry easily","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.0821791353237258
"213","get angry easily","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",-0.0104916721296903
"214","get angry easily","how often do you imagine that you have less scholastic ability than your classmates",-0.0697492194357715
"215","get angry easily","have you ever been concerned or worried about your ability to attract members of the opposite sex",-0.077056856187291
"216","get angry easily","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.0543423815820176
"217","respect authority","how often do you feel inferior to most of the people you know",0.143386926521406
"218","respect authority","how often do you have the feeling that there is nothing you can do well",0.0623584706496739
"219","respect authority","when in a group of people do you have trouble thinking of the right things to talk about",0.0409653440593784
"220","respect authority","how often do you feel worried or bothered about what other people think of you",0.167264525161391
"221","respect authority","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",0.143522928032534
"222","respect authority","how confident are you that others see you as being physically appealing",0.115828398093312
"223","respect authority","do you ever think that you are a worthless individual",0.120772008577873
"224","respect authority","how much do you worry about how well you get along with other people",0.0911125679174213
"225","respect authority","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.0786706518961322
"226","respect authority","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",0.0512192357692863
"227","respect authority","compared with classmates how often do you feel you must study more than they do to get the same grades",0.0930317003522261
"228","respect authority","have you ever thought of yourself as physically uncoordinated",0.0895814397937755
"229","respect authority","how confident do you feel that someday the people you know will look up to you and respect you",0.283560928454761
"230","respect authority","how often do you worry about criticisms that might be made of your work by your teacher or employer",0.0748963877376415
"231","respect authority","do you often feel uncomfortable meeting new people",0.0681603128923655
"232","respect authority","when you have to write an argument to convince your teacher who may disagree with your ideas",0.0885423171368571
"233","respect authority","have you ever felt ashamed of your physique or figure",0.101747797197747
"234","respect authority","have you ever felt inferior to most other people in athletic ability",0.0723488038755986
"235","respect authority","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",0.0783146479405327
"236","respect authority","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",0.0853911710130113
"237","respect authority","how often do you worry whether other people like to be with you",0.0644571606351182
"238","respect authority","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.0903854487272081
"239","respect authority","do you often feel that most of your friends or peers are more physically attractive than yourself",0.0968864098489983
"240","respect authority","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.0279376437515972
"241","respect authority","how often do you dislike yourself",0.048550317225747
"242","respect authority","how often do you feel self conscious",0.0657420638007089
"243","respect authority","how often are you troubled with shyness",0.0617522416915743
"244","respect authority","how often do you have trouble understanding things you read for class assignments",0.0213860154001711
"245","respect authority","do you often wish or fantasize that you were better looking",0.107352303914488
"246","respect authority","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",0.0707034522605807
"247","respect authority","in general how confident do you feel about your abilities",0.189881220902454
"248","respect authority","how much do you worry about whether other people regard you as a success or failure in your job or at school",0.0877449749441661
"249","respect authority","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",0.159962666251847
"250","respect authority","how often do you imagine that you have less scholastic ability than your classmates",0.104009600106668
"251","respect authority","have you ever been concerned or worried about your ability to attract members of the opposite sex",0.0408271203013367
"252","respect authority","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.0903805597839976
"253","leave my belongings around","how often do you feel inferior to most of the people you know",-0.0164886276514183
"254","leave my belongings around","how often do you have the feeling that there is nothing you can do well",0.0508743430482561
"255","leave my belongings around","when in a group of people do you have trouble thinking of the right things to talk about",0.0446489405437838
"256","leave my belongings around","how often do you feel worried or bothered about what other people think of you",0.0462196246624963
"257","leave my belongings around","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",0.0360648451649463
"258","leave my belongings around","how confident are you that others see you as being physically appealing",0.0281652018355759
"259","leave my belongings around","do you ever think that you are a worthless individual",0.0627926976966411
"260","leave my belongings around","how much do you worry about how well you get along with other people",0.0189117656862854
"261","leave my belongings around","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.0283452038355982
"262","leave my belongings around","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",0.107448304981166
"263","leave my belongings around","compared with classmates how often do you feel you must study more than they do to get the same grades",0.0652189468771875
"264","leave my belongings around","have you ever thought of yourself as physically uncoordinated",0.0625926954743942
"265","leave my belongings around","how confident do you feel that someday the people you know will look up to you and respect you",0.00119067989644329
"266","leave my belongings around","how often do you worry about criticisms that might be made of your work by your teacher or employer",0.0186784297603307
"267","leave my belongings around","do you often feel uncomfortable meeting new people",-0.00138357092856587
"268","leave my belongings around","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.105694952166135
"269","leave my belongings around","have you ever felt ashamed of your physique or figure",0.0534908165646285
"270","leave my belongings around","have you ever felt inferior to most other people in athletic ability",-0.00580495338837098
"271","leave my belongings around","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.0385222058022867
"272","leave my belongings around","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",0.0488809875665285
"273","leave my belongings around","how often do you worry whether other people like to be with you",-0.0150810564561828
"274","leave my belongings around","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.0608540094889943
"275","leave my belongings around","do you often feel that most of your friends or peers are more physically attractive than yourself",0.0601188902098912
"276","leave my belongings around","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.0436898187757642
"277","leave my belongings around","how often do you dislike yourself",0.05505172279692
"278","leave my belongings around","how often do you feel self conscious",0.0487632084800942
"279","leave my belongings around","how often are you troubled with shyness",0.0337590417671307
"280","leave my belongings around","how often do you have trouble understanding things you read for class assignments",0.0884787608751208
"281","leave my belongings around","do you often wish or fantasize that you were better looking",0.0575593062145135
"282","leave my belongings around","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",0.0151872798586651
"283","leave my belongings around","in general how confident do you feel about your abilities",0.0182913143479372
"284","leave my belongings around","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.0350910565672952
"285","leave my belongings around","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",0.0217149079434216
"286","leave my belongings around","how often do you imagine that you have less scholastic ability than your classmates",0.00388137645973844
"287","leave my belongings around","have you ever been concerned or worried about your ability to attract members of the opposite sex",0.0860716230180335
"288","leave my belongings around","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.0166232958143979
"289","take charge","how often do you feel inferior to most of the people you know",-0.106721630240336
"290","take charge","how often do you have the feeling that there is nothing you can do well",-0.125996511072345
"291","take charge","when in a group of people do you have trouble thinking of the right things to talk about",-0.143192257691752
"292","take charge","how often do you feel worried or bothered about what other people think of you",-0.0841333792597696
"293","take charge","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",-0.0600091112123468
"294","take charge","how confident are you that others see you as being physically appealing",-0.0386182068689652
"295","take charge","do you ever think that you are a worthless individual",-0.018796208846765
"296","take charge","how much do you worry about how well you get along with other people",-0.0525192502138913
"297","take charge","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.10209002322248
"298","take charge","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",-0.0659673996377737
"299","take charge","compared with classmates how often do you feel you must study more than they do to get the same grades",0.0573593039922666
"300","take charge","have you ever thought of yourself as physically uncoordinated",-0.155375948621651
"301","take charge","how confident do you feel that someday the people you know will look up to you and respect you",-0.0427671418571317
"302","take charge","how often do you worry about criticisms that might be made of your work by your teacher or employer",-0.0298363315147946
"303","take charge","do you often feel uncomfortable meeting new people",-0.0492449916110179
"304","take charge","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.0386835409282325
"305","take charge","have you ever felt ashamed of your physique or figure",-0.0298758875098612
"306","take charge","have you ever felt inferior to most other people in athletic ability",-0.0227558083978711
"307","take charge","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",-0.0186148734985944
"308","take charge","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",-0.0255740619340215
"309","take charge","how often do you worry whether other people like to be with you",-0.0561664018489094
"310","take charge","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",-0.0712083467594084
"311","take charge","do you often feel that most of your friends or peers are more physically attractive than yourself",-0.0431031455905066
"312","take charge","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.00889787664307381
"313","take charge","how often do you dislike yourself",-0.100424226935855
"314","take charge","how often do you feel self conscious",-0.0578695318836876
"315","take charge","how often are you troubled with shyness",0.0209251213902377
"316","take charge","how often do you have trouble understanding things you read for class assignments",-0.0808048978321981
"317","take charge","do you often wish or fantasize that you were better looking",0.0223011366792964
"318","take charge","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",-0.0890694341048234
"319","take charge","in general how confident do you feel about your abilities",-0.0105930065889621
"320","take charge","how much do you worry about whether other people regard you as a success or failure in your job or at school",-0.0912050133890377
"321","take charge","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",-0.085880509783442
"322","take charge","how often do you imagine that you have less scholastic ability than your classmates",-0.0361261791797687
"323","take charge","have you ever been concerned or worried about your ability to attract members of the opposite sex",-0.0883200924454716
"324","take charge","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",-0.0177241969355215
"325","enjoy the beauty of nature","how often do you feel inferior to most of the people you know",0.26643673818598
"326","enjoy the beauty of nature","how often do you have the feeling that there is nothing you can do well",0.138361981799798
"327","enjoy the beauty of nature","when in a group of people do you have trouble thinking of the right things to talk about",0.310844342714919
