question2,sub01,sub02,sub03,sub04,sub05,sub06,sub07,sub08,sub09,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub34,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45,sub46,sub47,sub48,sub49,sub50
do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking,5,3,4,3,4,1,5,2,2,1,3,3,2,3,1,3,2,3,3,2,2,5,3,3,3,1,1,3,3,3,3,1,3,4,1,4,5,5,3,5,5,1,2,2,3,1,3,2,3,3
how often do you worry whether other people like to be with you,5,3,2,3,5,1,4,1,3,2,3,3,2,3,2,3,1,5,4,1,3,3,3,4,4,2,2,4,3,3,4,2,3,4,3,4,4,4,2,4,4,2,2,3,3,2,2,3,5,4
how often do you have trouble expressing your ideas when you have to put them into writing as an assignment,4,4,4,3,3,3,5,5,5,1,5,2,2,3,1,1,3,3,4,4,4,4,4,3,5,1,4,3,3,4,5,1,4,3,3,3,4,3,3,3,5,3,4,1,4,5,3,2,4,3
do you often feel that most of your friends or peers are more physically attractive than yourself,4,3,3,2,3,2,4,3,4,1,3,2,4,4,1,3,4,4,3,3,3,2,3,4,4,1,2,3,3,4,2,3,3,3,3,3,3,5,2,4,4,3,3,3,4,2,3,3,4,3
when involved in sports requiring physical coordination are you often concerned that you will not do well,5,2,3,2,3,3,4,3,3,3,5,4,5,1,2,2,2,5,4,2,4,2,3,5,4,1,3,3,2,5,1,3,4,5,5,3,4,3,2,4,1,1,4,4,3,4,4,4,4,4
how often do you dislike yourself,5,4,4,4,5,4,5,4,4,3,5,4,5,5,3,4,5,4,4,3,4,4,4,5,4,3,2,5,3,1,4,4,5,4,3,4,5,5,3,2,3,5,4,3,3,3,4,4,4,4
how often do you feel self conscious,4,3,3,3,3,2,4,2,3,2,4,3,3,2,3,3,2,2,4,2,3,3,3,3,4,2,3,4,3,3,3,2,4,4,2,3,4,5,1,2,4,2,1,3,3,2,3,2,3,2
how often are you troubled with shyness,4,3,4,3,4,2,5,3,3,1,4,5,2,4,3,2,3,4,4,1,2,5,3,4,5,1,4,3,3,5,4,1,2,4,1,4,5,5,3,5,5,1,4,4,5,2,4,3,5,4
how often do you have trouble understanding things you read for class assignments,5,4,3,3,3,3,5,4,5,3,5,4,2,3,3,5,3,3,4,4,4,5,4,4,4,3,4,3,3,4,4,3,3,3,2,4,4,3,4,4,4,5,4,3,4,4,3,3,4,5
do you often wish or fantasize that you were better looking,4,3,3,3,3,2,4,2,3,3,3,3,4,3,2,4,2,4,4,3,4,3,3,2,4,2,3,4,3,4,2,2,3,3,2,3,5,4,1,2,4,4,2,2,3,3,3,2,3,4
have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination,5,3,4,2,4,1,5,2,3,3,5,5,3,2,1,3,4,3,4,1,3,4,3,3,5,1,4,2,2,5,1,3,4,5,5,3,4,5,3,4,4,1,4,2,3,5,3,3,4,3
in general how confident do you feel about your abilities,1,2,3,3,2,2,1,1,1,2,2,2,2,2,3,3,2,1,2,2,2,2,2,1,2,4,3,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2
how much do you worry about whether other people regard you as a success or failure in your job or at school,5,4,2,3,2,4,4,3,2,4,5,4,2,4,4,4,2,4,4,2,4,2,1,3,5,2,5,4,3,4,4,4,3,3,3,3,4,4,2,2,5,3,2,1,4,3,5,3,5,4
when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it,5,3,2,3,3,2,4,3,3,3,4,3,3,3,2,3,1,3,3,2,3,2,3,3,5,2,4,4,3,3,4,1,4,4,3,4,5,3,2,3,3,2,3,4,2,3,3,3,4,5
how often do you imagine that you have less scholastic ability than your classmates,4,4,3,2,3,3,4,4,5,3,5,3,2,3,2,4,3,4,4,3,4,4,3,4,5,2,5,2,3,5,5,3,5,2,2,5,4,2,3,4,4,4,3,3,3,3,3,3,5,2
have you ever been concerned or worried about your ability to attract members of the opposite sex,3,4,3,3,4,2,4,2,3,4,5,3,4,3,4,4,2,5,4,1,3,1,3,3,4,2,3,3,3,3,3,2,2,3,3,3,5,4,2,4,3,1,2,3,2,3,3,3,3,3
when trying to do well at a sport and you know other people are watching how rattled or flustered do you get,3,3,3,3,3,3,5,4,4,3,4,4,4,3,3,3,3,3,4,1,4,1,3,3,4,1,3,3,2,3,2,3,4,4,5,3,4,4,2,5,2,1,3,2,2,4,3,3,4,3
