Seldom,notice,the,emotional,aspects,of,,,,,,,,,,,,,,,,,,,,
Am,easily,discouraged,,,,,,,,,,,,,,,,,,,,,,,
Take,no,time,for,others,,,,,,,,,,,,,,,,,,,,,
Get,things,done,quickly,,,,,,,,,,,,,,,,,,,,,,
Am,not,a,very,enthusiastic,person,,,,,,,,,,,,,,,,,,,,
Have,a,rich,vocabulary,,,,,,,,,,,,,,,,,,,,,,
Am,a,person,whose,moods,go,up,and,down,easily,,,,,,,,,,,,,,,,
Insult,people,,,,,,,,,,,,,,,,,,,,,,,,
Am,not,bothered,by,disorder,,,,,,,,,,,,,,,,,,,,,
Can,talk,others,into,doing,things,,,,,,,,,,,,,,,,,,,,
Need,a,creative,outlet,,,,,,,,,,,,,,,,,,,,,,
Am,not,embarrassed,easily,,,,,,,,,,,,,,,,,,,,,,
Take,an,interest,in,other,people's,lives,,,,,,,,,,,,,,,,,,,
Always,know,what,I,am,doing,,,,,,,,,,,,,,,,,,,,
Show,my,feelings,when,I'm,happy,,,,,,,,,,,,,,,,,,,,
Think,quickly,,,,,,,,,,,,,,,,,,,,,,,,
Am,not,easily,annoyed,,,,,,,,,,,,,,,,,,,,,,
Seek,conflict,,,,,,,,,,,,,,,,,,,,,,,,
Dislike,routine,,,,,,,,,,,,,,,,,,,,,,,,
Hold,back,my,opinions,,,,,,,,,,,,,,,,,,,,,,
Seldom,get,lost,in,thought,,,,,,,,,,,,,,,,,,,,,
Become,overwhelmed,by,events,,,,,,,,,,,,,,,,,,,,,,
Don't,have,a,soft,side,,,,,,,,,,,,,,,,,,,,,
Postpone,decisions,,,,,,,,,,,,,,,,,,,,,,,,
Have,a,lot,of,fun,,,,,,,,,,,,,,,,,,,,,
Learn,things,slowly,,,,,,,,,,,,,,,,,,,,,,,
Get,easily,agitated,,,,,,,,,,,,,,,,,,,,,,,
Love,a,good,fight,,,,,,,,,,,,,,,,,,,,,,
See,that,rules,are,observed,,,,,,,,,,,,,,,,,,,,,
Am,the,first,to,act,,,,,,,,,,,,,,,,,,,,,
Seldom,daydream,,,,,,,,,,,,,,,,,,,,,,,,
Am,afraid,of,many,things,,,,,,,,,,,,,,,,,,,,,
Like,to,do,things,for,others,,,,,,,,,,,,,,,,,,,,
Am,easily,distracted,,,,,,,,,,,,,,,,,,,,,,,
Laugh,a,lot,,,,,,,,,,,,,,,,,,,,,,,
Formulate,ideas,clearly,,,,,,,,,,,,,,,,,,,,,,,
Can,be,stirred,up,easily,,,,,,,,,,,,,,,,,,,,,
Am,out,for,my,own,personal,gain,,,,,,,,,,,,,,,,,,,
Want,every,detail,taken,care,of,,,,,,,,,,,,,,,,,,,,
Do,not,have,an,assertive,personality,,,,,,,,,,,,,,,,,,,,
See,beauty,in,things,that,others,might,not,notice,,,,,,,,,,,,,,,,,
How,often,do,you,feel,inferior,to,most,of,the,people,you,know,,,,,,,,,,,,,
How,often,do,you,have,the,feeling,that,there,is,nothing,you,can,do,well,,,,,,,,,,,
When,in,a,group,of,people,do,you,have,trouble,thinking,of,the,right,things,to,talk,about,,,,,,,,
How,often,do,you,feel,worried,or,bothered,about,what,other,people,think,of,you,,,,,,,,,,,
In,turning,in,a,major,assignment,such,as,a,term,paper,how,often,do,you,feel,you,did,an,excellent,job,on,it,,,
How,confident,are,you,that,others,see,you,as,being,physically,appealing,,,,,,,,,,,,,,
Do,you,ever,think,that,you,are,a,worthless,individual,,,,,,,,,,,,,,,,
How,much,do,you,worry,about,how,well,you,get,along,with,other,people,,,,,,,,,,,,
When,you,make,an,embarrassing,mistake,or,have,done,something,that,makes,you,look,foolish,how,long,does,it,take,you,to,get,over,it,
When,you,have,to,read,an,essay,and,understand,it,for,a,class,assignment,how,worried,or,concerned,do,you,feel,about,it,,,
Compared,with,classmates,how,often,do,you,feel,you,must,study,more,than,they,do,to,get,the,same,grades,,,,,,
Have,you,ever,thought,of,yourself,as,physically,uncoordinated,,,,,,,,,,,,,,,,,
How,confident,do,you,feel,that,someday,the,people,you,know,will,look,up,to,you,and,respect,you,,,,,,,
How,often,do,you,worry,about,criticisms,that,might,be,made,of,your,work,by,your,teacher,or,employer,,,,,,,
Do,you,often,feel,uncomfortable,meeting,new,people,,,,,,,,,,,,,,,,,,
When,you,have,to,write,an,argument,to,convince,your,teacher,who,may,disagree,with,your,ideas,,,,,,,,,
Have,you,ever,felt,ashamed,of,your,physique,or,figure,,,,,,,,,,,,,,,,
Have,you,ever,felt,inferior,to,most,other,people,in,athletic,ability,,,,,,,,,,,,,,
Do,you,ever,feel,so,discouraged,with,yourself,that,you,wonder,whether,you,are,a,worthwhile,person,,,,,,,,,
Do,you,ever,feel,afraid,or,anxious,when,you,are,going,into,a,room,by,yourself,where,other,people,have,already,gathered,and,are,talking,
How,often,do,you,worry,whether,other,people,like,to,be,with,you,,,,,,,,,,,,,
How,often,do,you,have,trouble,expressing,your,ideas,when,you,have,to,put,them,into,writing,as,an,assignment,,,,,,
Do,you,often,feel,that,most,of,your,friends,or,peers,are,more,physically,attractive,than,yourself.,,,,,,,,,
When,involved,in,sports,requiring,physical,coordination,are,you,often,concerned,that,you,will,not,do,well,,,,,,,,,
How,often,do,you,dislike,yourself,,,,,,,,,,,,,,,,,,,,
How,often,do,you,feel,self-conscious,,,,,,,,,,,,,,,,,,,,
How,often,are,you,troubled,with,shyness,,,,,,,,,,,,,,,,,,,
How,often,do,you,have,trouble,understanding,things,you,read,for,class,assignments,,,,,,,,,,,,,
Do,you,often,wish,or,fantasize,that,you,were,better,looking,,,,,,,,,,,,,,,
Have,you,ever,thought,that,you,lacked,the,ability,to,be,a,good,dancer,or,do,well,at,recreational,activities,involving,coordination,,,,
In,general,how,confident,do,you,feel,about,your,abilities,,,,,,,,,,,,,,,,
How,much,do,you,worry,about,whether,other,people,regard,you,as,a,success,or,failure,in,your,job,or,at,school,,,,
When,you,think,that,some,of,the,people,you,meet,might,have,an,unfavorable,opinion,of,you,how,concerned,or,worried,do,you,feel,about,it
